Season,Rider,Country,Constructor,Class
1982,Angel Nieto,ES,Garelli,125cc
1982,Anton Mang,DE,Kawasaki,350cc
1982,Stefan Dörflinger,CH,Kreidler,50cc
1981,Marco Lucchinelli,IT,Suzuki,MotoGP™
1981,Anton Mang,DE,Kawasaki,250cc
1981,Angel Nieto,ES,Minarelli,125cc
1981,Anton Mang,DE,Kawasaki,350cc
1981,Ricardo Tormo,ES,Motul Bultaco,50cc
1980,Kenny Roberts,US,Yamaha,MotoGP™
1980,Anton Mang,DE,Kawasaki,250cc
1980,Pierpaolo Bianchi,IT,MBA,125cc
1980,Jonnie Ekerold,ZA,Bimota,350cc
1980,Eugenio Lazzarini,IT,Kreidler Van Veen,50cc
1979,Kenny Roberts,US,Yamaha,MotoGP™
1979,Kork Ballington,ZA,Kawasaki,250cc
1979,Angel Nieto,ES,Minarelli,125cc
1979,Kork Ballington,ZA,Kawasaki,350cc
1979,Eugenio Lazzarini,IT,Kreidler,50cc
1978,Kenny Roberts,US,Yamaha,MotoGP™
1978,Kork Ballington,ZA,Kawasaki,250cc
1978,Eugenio Lazzarini,IT,MBA,125cc
1978,Kork Ballington,ZA,Kawasaki,350cc
1978,Ricardo Tormo,ES,Bultaco,50cc
1977,Barry Sheene,GB,Suzuki,MotoGP™
1977,Mario Lega,IT,Morbidelli,250cc
1977,Pierpaolo Bianchi,IT,Morbidelli,125cc
1977,Takazumi Katayama,JP,Yamaha,350cc
1977,Angel Nieto,ES,Bultaco,50cc
1976,Barry Sheene,GB,Suzuki,MotoGP™
1976,Walter Villa,IT,Harley Davidson,250cc
1976,Pierpaolo Bianchi,IT,Morbidelli,125cc
1976,Walter Villa,IT,Harley Davidson,350cc
1976,Angel Nieto,ES,Bultaco,50cc
1975,Giacomo Agostini,IT,Yamaha,MotoGP™
1975,Walter Villa,IT,Harley Davidson,250cc
1975,Paolo Pileri,IT,Morbidelli,125cc
1975,Johnny Cecotto,VE,Yamaha,350cc
1975,Angel Nieto,ES,Kreidler,50cc
1974,Phil Read,GB,MV Agusta,MotoGP™
1974,Walter Villa,IT,Harley Davidson,250cc
1974,Kent Andersson,SE,Yamaha,125cc
1974,Giacomo Agostini,IT,Yamaha,350cc
1974,Henk Van Kessel,NL,Van Veen-Kreidler,50cc
1973,Phil Read,GB,MV Agusta,MotoGP™
1973,Dieter Braun,DE,Yamaha,250cc
1973,Kent Andersson,SE,Yamaha,125cc
1973,Giacomo Agostini,IT,MV Agusta,350cc
1973,Jan De Vries,NL,Kreidler,50cc
1972,Giacomo Agostini,IT,MV Agusta,MotoGP™
1972,Jarno Saarinen,FI,Yamaha,250cc
1972,Angel Nieto,ES,Derbi,125cc
1972,Giacomo Agostini,IT,MV Agusta,350cc
1972,Angel Nieto,ES,Derbi,50cc
1971,Giacomo Agostini,IT,MV Agusta,MotoGP™
1971,Phil Read,GB,Yamaha,250cc
1971,Angel Nieto,ES,Derbi,125cc
1971,Giacomo Agostini,IT,MV Agusta,350cc
1971,Jan De Vries,NL,Kreidler,50cc
1970,Giacomo Agostini,IT,MV Agusta,MotoGP™
1970,Rodney Gould,GB,Yamaha,250cc
1970,Dieter Braun,DE,Suzuki,125cc
1970,Giacomo Agostini,IT,MV Agusta,350cc
1970,Angel Nieto,ES,Derbi,50cc
1969,Giacomo Agostini,IT,MV Agusta,MotoGP™
1969,Kel Carruthers,AU,Benelli,250cc
1969,Dave Simmonds,GB,Kawasaki,125cc
1969,Giacomo Agostini,IT,MV Agusta,350cc
1969,Angel Nieto,ES,Derbi,50cc
1968,Giacomo Agostini,IT,MV Agusta,MotoGP™
1968,Phil Read,GB,Yamaha,250cc
1968,Phil Read,GB,Yamaha,125cc
1968,Giacomo Agostini,IT,MV Agusta,350cc
1968,Hans-Georg Anscheidt,DE,Suzuki,50cc
1967,Giacomo Agostini,IT,MV Agusta,MotoGP™
1967,Mike Hailwood,GB,Honda,250cc
1967,Bill Ivy,GB,Yamaha,125cc
1967,Mike Hailwood,GB,Honda,350cc
1967,Hans-Georg Anscheidt,DE,Suzuki,50cc
1966,Giacomo Agostini,IT,MV Agusta,MotoGP™
1966,Mike Hailwood,GB,Honda,250cc
1966,Luigi Taveri,CH,Honda,125cc
1966,Mike Hailwood,GB,Honda,350cc
1966,Hans-Georg Anscheidt,DE,Suzuki,50cc
1965,Mike Hailwood,GB,MV Agusta,MotoGP™
1965,Phil Read,GB,Yamaha,250cc
1965,Hugh Anderson,NZ,Suzuki,125cc
1965,Jim Redman,,Honda,350cc
1965,Ralph Bryans,IE,Honda,50cc
1964,Mike Hailwood,GB,MV Agusta,MotoGP™
1964,Phil Read,GB,Yamaha,250cc
1964,Luigi Taveri,CH,Honda,125cc
1964,Jim Redman,,Honda,350cc
1964,Hugh Anderson,NZ,Suzuki,50cc
1963,Mike Hailwood,GB,MV Agusta,MotoGP™
1963,Jim Redman,,Honda,250cc
1963,Hugh Anderson,NZ,Suzuki,125cc
1963,Jim Redman,,Honda,350cc
1963,Hugh Anderson,NZ,Suzuki,50cc
1962,Mike Hailwood,GB,MV Agusta,MotoGP™
1962,Jim Redman,,Honda,250cc
1962,Luigi Taveri,CH,Honda,125cc
1962,Jim Redman,,Honda,350cc
1962,Ernst Degner,DE,Suzuki,50cc
1961,Gary Hocking,,MV Agusta,MotoGP™
