Times,Rider,Country
3,Carlos Giro Jr.,ES
3,Didier De Radigues,BE
3,Raffaele De Rosa,IT
2,Andrea Locatelli,IT
2,Dickie Dale,GB
2,Tommy Wood,GB
2,James Armstrong,AU
2,Alano Montanari,IT
2,John Mcphee,GB
2,Gabriele Debbia,IT
2,Maurice Cann,GB
2,Benjamin Grau,ES
2,James Armstrong,AU
2,Alano Montanari,IT
2,John Mcphee,GB
2,Maurice Cann,GB
2,Benjamin Grau,ES
2,Max Sabbatani,IT
2,Benjamin Schneider,DE
2,Anders Anderson,SE
2,Carlo Bandirola,IT
2,Hans Baltisberger,DE
2,Jakub Kornfeil,CZ
2,Duilio Agostini,IT
2,Jaroslav Hules,CZ
2,Philipp Oettl,DE
2,Gino Borsoi,IT
2,John Hopkins,US
2,Benedicto Caldarella,AR
2,Simon Crafar,NZ
2,Takeshi Tsujimura,JP
2,William Doran,GB
2,Makoto Tamada,JP
2,Peter Williams,GB
2,Simone Corsi,IT
2,Michel Rougerie,FR
2,Ivan Palazzese,VE
2,Alonso Lopez,ES
2,Tetsuta Nagashima,JP
2,Xavi Vierge,ES
2,Gianluigi Scalvini,IT
2,Fumio Ito,JP
2,Alan Carter,GB
2,Jean Louis Tournadre,FR
2,Charlie Williams,GB
2,Pierre Monneret,FR
2,Keith Campbell,AU
2,Alberto Gandossi,IT
2,Randy Krummenacher,CH
2,Angelo Bergamonti,IT
2,Alessandro Tonucci,IT
2,Hans Müller,CH
2,Takeshi Tsujimura,JP
2,William Doran,GB
2,John Hartle,GB
2,Janos Drapal,HU
2,Makoto Tamada,JP
2,Pierre Monneret,FR
2,Peter Williams,GB
2,Keith Campbell,AU
2,Alberto Gandossi,IT
2,Simone Corsi,IT
2,Angelo Bergamonti,IT
2,Michel Rougerie,FR
2,Ivan Palazzese,VE
2,Gianluigi Scalvini,IT
2,Marcos Ramirez,ES
1,Wilco Zeelenberg,NL
1,Pierluigi Aldrovandi,IT
1,Helmut Kassner,DE
1,Kaito Toba,JP
1,Isaac Viñales,ES
1,Jeffrey Sayle,AU
1,Jules Cluzel,FR
1,Roland Freymond,CH
1,Marcellino Lucchi,IT
