Times,Rider,Country
3,Daryl Beattie,AU
3,Jack Findlay,AU
3,Yuki Takahashi,JP
3,Jacques Cornu,CH
3,Emilio Mendogni,IT
3,Hideo Kanaya,JP
3,Juan Garriga,ES
3,Pat Hennen,US
3,Patrick Fernandez,FR
3,Bob Foster,GB
3,Alberto Pagani,IT
3,Fabio Di Giannantonio,IT
3,Keith Campbell,AU
3,Alfredo Milani,IT
2,Alan Shepherd,GB
2,Herri Torrontegui,ES
2,Jorge Navarro,ES
2,Alberto Gandossi,IT
2,Maurizio Vitali,IT
2,Arthur Wheeler,GB
2,Efren Vazquez,ES
2,William Doran,GB
2,Dickie Dale,GB
2,Eric Saul,FR
2,Danilo Petrucci,IT
2,Lukas Pesek,CZ
2,Salvador Cañellas,ES
2,Ivan Palazzese,VE
2,Tatsuki Suzuki,JP
2,Gianluigi Scalvini,IT
2,Helmut Kassner,DE
2,Carlos Checa,ES
2,Jack Middelburg,NL
2,Pierre Monneret,FR
2,Anthony West,AU
2,Tommy Wood,GB
2,Jan Huberts,NL
2,Cromie Mccandless,IE
2,Tom Herron,IE
2,Stuart Graham,GB
2,Niki Tuuli,FI
2,Virginio Ferrari,IT
2,Takaaki Nakagami,JP
2,Makoto Tamada,JP
2,Alexis Masbou,FR
2,Gianfranco Bonera,IT
2,Mitsuo Itoh,JP
2,Angelo Bergamonti,IT
2,Andrea Migno,IT
2,Tony Rutter,GB
2,Marcos Ramirez,ES
2,Alex Debon,ES
1,Marcellino Lucchi,IT
1,Paolo Casoli,IT
1,John Newbold,GB
1,Nobuatsu Aoki,JP
1,Victor Palomo,ES
1,Alessandro Zaccone,IT
1,Wilco Zeelenberg,NL
1,Simon Crafar,NZ
1,Remo Venturi,IT
1,Jan Bruins,NL
1,Gerhard Thurow,DE
1,Isao Morishita,JP
1,Izan Guevara,ES
1,Osamu Miyazaki,JP
1,Kevin Magee,AU
1,Ulrich Graf,CH
1,Roland Felgenheier,DE
1,Xavier Simeon,BE
1,Edmund Czihak,DE
1,Bert Schneider,AT
1,Edmund Czihak,DE
1,Bert Schneider,AT
1,Kaito Toba,JP
1,Jack Brett,GB
1,Darryn Binder,ZA
1,Ken Mudford,NZ
1,Jean Claude Selini,FR
1,Jos Schurgers,NL
1,Jorge Kissling,AR
1,Andrea Ballerini,IT
1,Artie Bell,IE
1,Bruno Casanova,IT
1,Edi Stoellinger,AT
1,Louis Rossi,FR
1,Ian Mcconnachie,GB
1,Pier Luigi Conforti,IT
1,Ivan Goi,IT
1,Michel Frutschi,CH
1,Adu Celso-santos,BR
1,Pentti Korhonen,FI
1,Mario Lega,IT
1,Alan Carter,GB
1,Bruno Spaggiari,IT
1,Troy Bayliss,AU
1,Tadahiko Taira,JP
1,Horoshi Hasegawa,JP
1,Jacques Bolle,FR
1,Manliefe Barrington,IE
1,Shoya Tomizawa,JP
1,Godfrey Nash,GB
1,Guido Sala,IT
1,Pablo Nieto,ES
1,Jeremy Mcwilliams,GB
1,Masaru Kobayashi,JP
1,Benjamin Grau,ES
1,Benedicto Caldarella,AR
1,Xavier Artigas,ES
1,Chris Vermeulen,AU
1,Fausto Ricci,IT
1,Miquel Pons,ES
1,Fausto Ricci,IT
1,Stefan Prein,DE
1,Miquel Pons,ES
1,Alberto Puig,ES
1,Tomoyoshi Koyama,JP
1,Hermann Paul Müller,DE
1,Fritz Reitmaier,DE
1,Fumio Ito,JP
1,Somkiat Chantra,TH
1,Roland Freymond,CH
1,Jim Filice,US
1,Olivier Chevallier,FR
1,Tony Jefferies,GB
1,Duilio Agostini,IT
1,Gerd Kafka,AT
1,Ingo Emmerich,DE
1,Philipp Oettl,DE
1,Boet Van Dulmen,NL
1,Kim Newcombe,NZ
1,Livio Loi,BE
1,Livio Loi,BE
1,Romolo Ferri,IT
1,Phil Carpenter,GB
1,Jack Ahearn,AU
1,Dennis Ireland,NZ
1,Jean Louis Tournadre,FR
1,Derek Minter,GB
1,Tetsuta Nagashima,JP
1,Angelo Copeta,IT
1,Gyula Marsovszky,CH
1,Can öncü,TR
1,Regis Laconi,FR
1,R. Creith,IE
